color-count,goods-title-link,selling_proposition,price,discount,rank-title,rank-sub
15.0,Manfinity Homme Loose Fit Men's Solid Color Button Up Shirt,10k+ sold recently,11.99,7.0,Not Ranked,Not Ranked
1.0,Manfinity Joysei Men's Star Patterned Shorts With Drawstring Waist,None,11.19,13.0,#8 Best Seller,in Blue Men Clothing
1.0,"Men's Summer Casual Short Sleeve T-Shirt With Slogan And Character Print, Round Neck",None,8.09,13.0,#10 Best Seller,in Figure Men T-Shirts
11.0,Manfinity Homme Men's Contrast Color Short Sleeve Polo Shirt With Decorative Details,10k+ sold recently,9.99,12.0,Not Ranked,Not Ranked
7.0,Manfinity EMRG Loose Fit Men Plus Letter Printed Graphic Tee,30+ sold recently,3.48,70.0,Not Ranked,Not Ranked
6.0,Manfinity Hypemode Loose Fit Men's Cotton Jeans With Slant Pockets Baggy Long Washed Skater Jean Cargo Plain Light Blue Going Out Y2K Friends,None,24.69,12.0,#8 Best Seller,in Pocket Men Jeans
10.0,Manfinity Hypemode Men Solid Button Up Shirt & Drawstring Waist Pants Without Tee,None,22.79,7.0,#2 Best Seller,in Fabric Men Shirt Co-ords
8.0,Men's Summer Letter Printed Short Sleeve Round Neck Casual Commute T-Shirt,80+ sold recently,4.1,56.0,Not Ranked,Not Ranked
6.0,Manfinity Homme Men's Simple Print/Pattern/Letter Short Sleeve T-Shirt,3.8k+ sold recently,7.99,13.0,Not Ranked,Not Ranked
4.0,Manfinity Homme Men Plus Size Summer Casual Solid Texture Short Sleeve T-Shirt And Shorts Set,None,23.95,14.0,#2 Best Sellers,in Men Plus Size Co-ords
1.0,"ROMWE Street Life Men's 2pcs Slogan Printed Shorts, Suitable For Daily Wear In Spring And Summer",100+ sold recently,15.49,14.0,Not Ranked,Not Ranked
23.0,Manfinity Homme Men's Solid Color Round Neck Short Sleeve T-Shirt,None,6.29,17.0,#10 Best Seller,in Black Men Clothing
10.0,Manfinity Hypemode Loose Men Slant Pockets Drawstring Waist Shorts,500+ sold recently,3.95,54.0,Not Ranked,Not Ranked
5.0,Manfinity LEGND Plus Size Round Neck Letter Printed Short Sleeve T-Shirt For Summer,600+ sold recently,9.29,12.0,Not Ranked,Not Ranked
12.0,Manfinity EMRG Men Bear & Letter Graphic Tee & Drawstring Waist Shorts,None,15.79,13.0,#2 Best Seller,In Cartoon Men Clothing
